metric,value,time
E_C100,510,11/12/2020 10:00
E_C100,1100,11/12/2020 11:00
E_C100,1070,11/12/2020 12:00
E_C100,1050,11/12/2020 13:00
E_C100,1050,11/12/2020 14:00
E_C100,1050,11/12/2020 15:00
E_C100,1070,11/12/2020 16:00
E_C100,1060,11/12/2020 17:00
E_C100,1040,11/12/2020 18:00
E_C100,1040,11/12/2020 19:00
E_C100,1050,11/12/2020 20:00
E_C100,1050,11/12/2020 21:00
E_C100,980,11/12/2020 22:00
E_C100,800,11/12/2020 23:00
E_C100,670,12/12/2020 00:00
E_C100,410,12/12/2020 01:00
E_C100,290,12/12/2020 02:00
E_C100,290,12/12/2020 03:00
E_C100,310,12/12/2020 04:00
E_C100,580,12/12/2020 05:00
E_C100,890,12/12/2020 06:00
E_C100,960,12/12/2020 07:00
E_C100,1030,12/12/2020 08:00
E_C100,1010,12/12/2020 09:00
E_C100,990,12/12/2020 10:00
E_C100,1000,12/12/2020 11:00
E_C100,880,12/12/2020 12:00
E_C100,840,12/12/2020 13:00
E_C100,850,12/12/2020 14:00
E_C100,760,12/12/2020 15:00
E_C100,400,12/12/2020 16:00
E_C100,170,12/12/2020 17:00
E_C100,140,12/12/2020 18:00
E_C100,140,12/12/2020 19:00
E_C100,130,12/12/2020 20:00
E_C100,130,12/12/2020 21:00
E_C100,130,12/12/2020 22:00
E_C100,130,12/12/2020 23:00
E_C100,120,13/12/2020 00:00
E_C100,130,13/12/2020 01:00
E_C100,130,13/12/2020 02:00
E_C100,130,13/12/2020 03:00
E_C100,120,13/12/2020 04:00
E_C100,120,13/12/2020 05:00
E_C100,120,13/12/2020 06:00
E_C100,140,13/12/2020 07:00
E_C100,160,13/12/2020 08:00
E_C100,160,13/12/2020 09:00
E_C100,140,13/12/2020 10:00
E_C100,190,13/12/2020 11:00
E_C100,420,13/12/2020 12:00
E_C100,580,13/12/2020 13:00
E_C100,580,13/12/2020 14:00
E_C100,610,13/12/2020 15:00
E_C100,600,13/12/2020 16:00
E_C100,290,13/12/2020 17:00
E_C100,250,13/12/2020 18:00
E_C100,300,13/12/2020 19:00
E_C100,260,13/12/2020 20:00
E_C100,180,13/12/2020 21:00
E_C100,170,13/12/2020 22:00
E_C100,170,13/12/2020 23:00
E_C100,170,14/12/2020 00:00
E_C100,180,14/12/2020 01:00
E_C100,180,14/12/2020 02:00
E_C100,400,14/12/2020 03:00
E_C100,530,14/12/2020 04:00
E_C100,810,14/12/2020 05:00
E_C100,890,14/12/2020 06:00
E_C100,1000,14/12/2020 07:00
E_C100,980,14/12/2020 08:00
E_C100,1060,14/12/2020 09:00
E_C100,1030,14/12/2020 10:00
E_C100,1110,14/12/2020 11:00
E_C100,1070,14/12/2020 12:00
E_C100,1080,14/12/2020 13:00
E_C100,1070,14/12/2020 14:00
E_C100,1080,14/12/2020 15:00
E_C100,1040,14/12/2020 16:00
E_C100,1050,14/12/2020 17:00
E_C100,1050,14/12/2020 18:00
E_C100,1010,14/12/2020 19:00
E_C100,1000,14/12/2020 20:00
E_C100,1030,14/12/2020 21:00
E_C100,1000,14/12/2020 22:00
E_C100,1000,14/12/2020 23:00
E_C100,1000,15/12/2020 00:00
E_C100,950,15/12/2020 01:00
E_C100,740,15/12/2020 02:00
E_C100,660,15/12/2020 03:00
E_C100,530,15/12/2020 04:00
E_C100,630,15/12/2020 05:00
E_C100,850,15/12/2020 06:00
E_C100,1000,15/12/2020 07:00
E_C100,1080,15/12/2020 08:00
E_C100,1090,15/12/2020 09:00
E_C100,1050,15/12/2020 10:00
E_C100,1090,15/12/2020 11:00
E_C100,1050,15/12/2020 12:00
E_C100,1050,15/12/2020 13:00
E_C100,1070,15/12/2020 14:00
E_C100,1080,15/12/2020 15:00
E_C100,1020,15/12/2020 16:00
E_C100,1060,15/12/2020 17:00
E_C100,1020,15/12/2020 18:00
E_C100,1010,15/12/2020 19:00
E_C100,1010,15/12/2020 20:00
E_C100,1020,15/12/2020 21:00
E_C100,990,15/12/2020 22:00
E_C100,1020,15/12/2020 23:00
E_C100,1010,16/12/2020 00:00
E_C100,980,16/12/2020 01:00
E_C100,770,16/12/2020 02:00
E_C100,640,16/12/2020 03:00
E_C100,390,16/12/2020 04:00
E_C100,630,16/12/2020 05:00
E_C100,850,16/12/2020 06:00
E_C100,1000,16/12/2020 07:00
E_C100,1050,16/12/2020 08:00
E_C100,1070,16/12/2020 09:00
E_C100,1040,16/12/2020 10:00
E_C100,1080,16/12/2020 11:00
E_C100,1030,16/12/2020 12:00
E_C100,960,16/12/2020 13:00
E_C100,1050,16/12/2020 14:00
E_C100,1030,16/12/2020 15:00
E_C100,990,16/12/2020 16:00
E_C100,1010,16/12/2020 17:00
E_C100,1010,16/12/2020 18:00
E_C100,1040,16/12/2020 19:00
E_C100,1010,16/12/2020 20:00
E_C100,1020,16/12/2020 21:00
E_C100,990,16/12/2020 22:00
E_C100,1020,16/12/2020 23:00
E_C100,960,17/12/2020 00:00
E_C100,720,17/12/2020 01:00
E_C100,660,17/12/2020 02:00
E_C100,590,17/12/2020 03:00
E_C100,530,17/12/2020 04:00
E_C100,630,17/12/2020 05:00
E_C100,830,17/12/2020 06:00
E_C100,1000,17/12/2020 07:00
E_C100,1070,17/12/2020 08:00
