Calendar_Code,Calendar_Year,Calendar_Month,Calendar_Week,Period_Start_DateTime,Period_End_DateTime,Period_Working_Seconds,Period_Date_Shift,Period_Shift,Period_Crew,Unique_ID,Manual_Shift_Ended_Ind
PK01,2011,4,14,2011-04-03 20:50:00.000,2011-04-03 22:55:00.000,7500,201104033,3,1,9056,0
PK01,2011,4,14,2011-04-03 23:10:00.000,2011-04-04 01:40:00.000,9000,201104033,3,1,9057,0
PK01,2011,4,14,2011-04-04 02:15:00.000,2011-04-04 04:50:00.000,9300,201104033,3,1,9058,0
PK01,2011,4,14,2011-04-04 05:05:00.000,2011-04-04 07:04:59.000,7199,201104033,3,1,9059,0
PK01,2011,4,14,2011-04-04 07:05:00.000,2011-04-04 09:45:00.000,9600,201104041,1,3,9060,0
PK01,2011,4,14,2011-04-04 10:00:00.000,2011-04-04 12:45:00.000,9900,201104041,1,3,9061,0
PK01,2011,4,14,2011-04-04 13:15:00.000,2011-04-04 15:34:59.000,8399,201104041,1,3,9062,0
PK01,2011,4,14,2011-04-04 15:35:00.000,2011-04-04 18:00:00.000,8700,201104042,2,2,9063,0
PK01,2011,4,14,2011-04-04 18:30:00.000,2011-04-04 20:55:00.000,8700,201104042,2,2,9064,0
PK01,2011,4,14,2011-04-04 21:10:00.000,2011-04-04 23:19:59.000,7799,201104042,2,2,9065,0
PK01,2011,4,14,2011-04-04 23:20:00.000,2011-04-05 01:45:00.000,8700,201104043,3,1,9066,0
PK01,2011,4,14,2011-04-05 02:15:00.000,2011-04-05 04:50:00.000,9300,201104043,3,1,9067,0
PK01,2011,4,14,2011-04-05 05:05:00.000,2011-04-05 07:04:59.000,7199,201104043,3,1,9068,0
PK01,2011,4,14,2011-04-05 07:05:00.000,2011-04-05 09:45:00.000,9600,201104051,1,3,9069,0
PK01,2011,4,14,2011-04-05 10:00:00.000,2011-04-05 12:45:00.000,9900,201104051,1,3,9070,0
PK01,2011,4,14,2011-04-05 13:15:00.000,2011-04-05 15:34:59.000,8399,201104051,1,3,9071,0
PK01,2011,4,14,2011-04-05 15:35:00.000,2011-04-05 18:00:00.000,8700,201104052,2,2,9072,0
PK01,2011,4,14,2011-04-05 18:30:00.000,2011-04-05 20:55:00.000,8700,201104052,2,2,9073,0
PK01,2011,4,14,2011-04-05 21:10:00.000,2011-04-05 23:19:59.000,7799,201104052,2,2,9074,0
PK01,2011,4,14,2011-04-05 23:20:00.000,2011-04-06 01:45:00.000,8700,201104053,3,1,9075,0
PK01,2011,4,14,2011-04-06 02:15:00.000,2011-04-06 04:50:00.000,9300,201104053,3,1,9076,0
PK01,2011,4,14,2011-04-06 05:05:00.000,2011-04-06 07:04:59.000,7199,201104053,3,1,9077,0
